Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C1_Sumarizacao,3840,128,00_Baseline,1,98.39,55.77,9.17
C1_Sumarizacao,3840,128,01_KV,1,349.91,12.71,4.21
C1_Sumarizacao,3840,128,02_Attn,1,99.01,59.11,7.00
C1_Sumarizacao,3840,128,03_FFN,1,109.34,56.47,5.07
C1_Sumarizacao,3840,128,04_KV_Attn,1,335.74,13.43,3.98
C1_Sumarizacao,3840,128,05_KV_FFN,1,373.23,12.38,3.04
C1_Sumarizacao,3840,128,06_Attn_FFN,1,120.02,53.41,4.20
C1_Sumarizacao,3840,128,07_Tudo,1,365.00,12.84,2.74
C1_Sumarizacao,3840,128,00_Baseline,2,98.07,54.99,10.05
C1_Sumarizacao,3840,128,01_KV,2,318.81,13.98,4.68
C1_Sumarizacao,3840,128,02_Attn,2,101.09,57.84,6.99
C1_Sumarizacao,3840,128,03_FFN,2,110.97,55.81,5.09
C1_Sumarizacao,3840,128,04_KV_Attn,2,364.22,12.44,3.48
C1_Sumarizacao,3840,128,05_KV_FFN,2,358.50,13.02,2.87
C1_Sumarizacao,3840,128,06_Attn_FFN,2,115.78,55.22,4.37
C1_Sumarizacao,3840,128,07_Tudo,2,375.54,12.49,2.65
C1_Sumarizacao,3840,128,00_Baseline,3,99.82,53.58,9.30
C1_Sumarizacao,3840,128,01_KV,3,340.42,13.13,4.11
C1_Sumarizacao,3840,128,02_Attn,3,98.71,60.20,6.87
C1_Sumarizacao,3840,128,03_FFN,3,107.14,58.24,5.08
C1_Sumarizacao,3840,128,04_KV_Attn,3,351.88,12.90,3.55
C1_Sumarizacao,3840,128,05_KV_FFN,3,349.71,13.17,3.20
C1_Sumarizacao,3840,128,06_Attn_FFN,3,115.09,58.02,4.21
C1_Sumarizacao,3840,128,07_Tudo,3,373.10,12.96,2.31
C1_Sumarizacao,3840,128,00_Baseline,4,96.78,55.38,9.80
C1_Sumarizacao,3840,128,01_KV,4,350.39,12.76,3.98
C1_Sumarizacao,3840,128,02_Attn,4,99.93,59.40,6.89
C1_Sumarizacao,3840,128,03_FFN,4,108.39,58.08,5.08
C1_Sumarizacao,3840,128,04_KV_Attn,4,350.68,12.96,3.59
C1_Sumarizacao,3840,128,05_KV_FFN,4,355.85,12.80,3.40
C1_Sumarizacao,3840,128,06_Attn_FFN,4,114.88,57.97,4.20
C1_Sumarizacao,3840,128,07_Tudo,4,347.49,13.82,2.58
C1_Sumarizacao,3840,128,00_Baseline,5,97.08,55.45,10.04
C1_Sumarizacao,3840,128,01_KV,5,347.83,12.93,3.85
C1_Sumarizacao,3840,128,02_Attn,5,100.02,57.13,7.35
C1_Sumarizacao,3840,128,03_FFN,5,108.37,57.33,5.05
C1_Sumarizacao,3840,128,04_KV_Attn,5,358.43,12.61,3.52
C1_Sumarizacao,3840,128,05_KV_FFN,5,376.62,12.22,2.96
C1_Sumarizacao,3840,128,06_Attn_FFN,5,117.68,56.40,4.06
C1_Sumarizacao,3840,128,07_Tudo,5,361.91,13.04,2.66
C1_Sumarizacao,3840,128,00_Baseline,6,99.08,53.93,9.50
C1_Sumarizacao,3840,128,01_KV,6,310.26,14.44,4.75
C1_Sumarizacao,3840,128,02_Attn,6,99.50,59.79,6.75
C1_Sumarizacao,3840,128,03_FFN,6,112.86,54.67,5.16
C1_Sumarizacao,3840,128,04_KV_Attn,6,346.97,13.00,3.90
C1_Sumarizacao,3840,128,05_KV_FFN,6,334.88,13.90,3.25
C1_Sumarizacao,3840,128,06_Attn_FFN,6,116.21,55.98,4.33
C1_Sumarizacao,3840,128,07_Tudo,6,369.34,12.77,2.63
C1_Sumarizacao,3840,128,00_Baseline,7,101.13,53.35,9.38
C1_Sumarizacao,3840,128,01_KV,7,345.18,12.85,4.53
C1_Sumarizacao,3840,128,02_Attn,7,99.64,60.04,6.81
C1_Sumarizacao,3840,128,03_FFN,7,110.60,56.09,4.94
C1_Sumarizacao,3840,128,04_KV_Attn,7,19.74,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,7,14.53,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,7,115.55,57.42,4.21
C1_Sumarizacao,3840,128,07_Tudo,7,14.66,N/A,N/A
C1_Sumarizacao,3840,128,00_Baseline,8,97.12,56.45,9.68
C1_Sumarizacao,3840,128,01_KV,8,14.44,N/A,N/A
C1_Sumarizacao,3840,128,02_Attn,8,16.82,N/A,N/A
C1_Sumarizacao,3840,128,03_FFN,8,109.21,57.54,5.07
C1_Sumarizacao,3840,128,04_KV_Attn,8,14.91,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,8,14.68,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,8,114.58,58.17,4.23
C1_Sumarizacao,3840,128,07_Tudo,8,13.56,N/A,N/A
C1_Sumarizacao,3840,128,00_Baseline,9,99.94,54.73,9.14
C1_Sumarizacao,3840,128,01_KV,9,14.10,N/A,N/A
C1_Sumarizacao,3840,128,02_Attn,9,16.52,N/A,N/A
C1_Sumarizacao,3840,128,03_FFN,9,111.22,55.79,5.11
C1_Sumarizacao,3840,128,04_KV_Attn,9,14.04,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,9,14.51,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,9,116.05,57.30,4.18
C1_Sumarizacao,3840,128,07_Tudo,9,14.04,N/A,N/A
C1_Sumarizacao,3840,128,00_Baseline,10,98.67,54.68,10.02
C1_Sumarizacao,3840,128,01_KV,10,13.47,N/A,N/A
C1_Sumarizacao,3840,128,02_Attn,10,16.94,N/A,N/A
C1_Sumarizacao,3840,128,03_FFN,10,110.43,56.69,5.36
C1_Sumarizacao,3840,128,04_KV_Attn,10,15.38,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,10,14.64,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,10,119.10,55.71,4.25
C1_Sumarizacao,3840,128,07_Tudo,10,13.83,N/A,N/A
C2_Geracao,128,3840,00_Baseline,1,309.76,93.54,13.14
C2_Geracao,128,3840,01_KV,1,591.43,94.51,6.70
C2_Geracao,128,3840,02_Attn,1,460.68,92.08,8.66
C2_Geracao,128,3840,03_FFN,1,662.90,104.66,5.95
C2_Geracao,128,3840,04_KV_Attn,1,736.41,96.98,5.36
C2_Geracao,128,3840,05_KV_FFN,1,913.89,89.18,4.30
C2_Geracao,128,3840,06_Attn_FFN,1,821.94,98.55,4.78
C2_Geracao,128,3840,07_Tudo,1,1133.34,87.31,3.46
C2_Geracao,128,3840,00_Baseline,2,310.56,99.48,13.09
