Scenario,N_Prompt,N_Gen,Mode,Run,Total_Time_s,Prefill_TPS,Decode_TPS
C1_Sumarizacao,3840,128,00_Baseline,1,165.66,28.65,7.72
C1_Sumarizacao,3840,128,01_KV,1,418.77,10.37,4.12
C1_Sumarizacao,3840,128,02_Attn,1,159.51,31.21,6.12
C1_Sumarizacao,3840,128,03_FFN,1,172.03,30.12,4.78
C1_Sumarizacao,3840,128,04_KV_Attn,1,411.08,10.78,3.60
C1_Sumarizacao,3840,128,05_KV_FFN,1,422.66,10.59,3.09
C1_Sumarizacao,3840,128,06_Attn_FFN,1,177.02,30.31,4.02
C1_Sumarizacao,3840,128,07_Tudo,1,427.55,10.68,2.73
C1_Sumarizacao,3840,128,00_Baseline,2,166.75,28.62,7.71
C1_Sumarizacao,3840,128,01_KV,2,421.23,10.32,4.12
C1_Sumarizacao,3840,128,02_Attn,2,161.33,31.06,6.12
C1_Sumarizacao,3840,128,03_FFN,2,170.64,30.05,4.79
C1_Sumarizacao,3840,128,04_KV_Attn,2,408.73,10.81,3.60
C1_Sumarizacao,3840,128,05_KV_FFN,2,423.33,10.61,3.09
C1_Sumarizacao,3840,128,06_Attn_FFN,2,174.99,30.49,4.02
C1_Sumarizacao,3840,128,07_Tudo,2,427.05,10.69,2.73
C1_Sumarizacao,3840,128,00_Baseline,3,166.37,28.69,7.72
C1_Sumarizacao,3840,128,01_KV,3,415.18,10.46,4.12
C1_Sumarizacao,3840,128,02_Attn,3,162.47,31.06,6.12
C1_Sumarizacao,3840,128,03_FFN,3,171.54,30.22,4.79
C1_Sumarizacao,3840,128,04_KV_Attn,3,410.98,10.87,3.60
C1_Sumarizacao,3840,128,05_KV_FFN,3,419.71,10.71,3.10
C1_Sumarizacao,3840,128,06_Attn_FFN,3,176.91,30.39,4.01
C1_Sumarizacao,3840,128,07_Tudo,3,424.50,10.73,2.73
C1_Sumarizacao,3840,128,00_Baseline,4,166.63,28.61,7.74
C1_Sumarizacao,3840,128,01_KV,4,421.33,10.32,4.12
C1_Sumarizacao,3840,128,02_Attn,4,162.10,30.97,6.12
C1_Sumarizacao,3840,128,03_FFN,4,171.56,30.19,4.79
C1_Sumarizacao,3840,128,04_KV_Attn,4,410.73,10.79,3.60
C1_Sumarizacao,3840,128,05_KV_FFN,4,424.30,10.58,3.10
C1_Sumarizacao,3840,128,06_Attn_FFN,4,176.61,30.47,4.02
C1_Sumarizacao,3840,128,07_Tudo,4,423.65,10.76,2.73
C1_Sumarizacao,3840,128,00_Baseline,5,165.68,28.85,7.72
C1_Sumarizacao,3840,128,01_KV,5,422.81,10.29,4.12
C1_Sumarizacao,3840,128,02_Attn,5,160.01,31.08,6.13
C1_Sumarizacao,3840,128,03_FFN,5,171.64,30.19,4.79
C1_Sumarizacao,3840,128,04_KV_Attn,5,408.10,10.87,3.60
C1_Sumarizacao,3840,128,05_KV_FFN,5,418.34,10.71,3.10
C1_Sumarizacao,3840,128,06_Attn_FFN,5,176.54,30.49,4.02
C1_Sumarizacao,3840,128,07_Tudo,5,425.76,10.71,2.73
C1_Sumarizacao,3840,128,00_Baseline,6,166.30,28.67,7.71
C1_Sumarizacao,3840,128,01_KV,6,420.20,10.35,4.12
C1_Sumarizacao,3840,128,02_Attn,6,161.80,31.02,6.13
C1_Sumarizacao,3840,128,03_FFN,6,171.51,30.14,4.78
C1_Sumarizacao,3840,128,04_KV_Attn,6,408.82,10.85,3.62
C1_Sumarizacao,3840,128,05_KV_FFN,6,416.46,10.81,3.19
C1_Sumarizacao,3840,128,06_Attn_FFN,6,174.91,30.49,4.02
C1_Sumarizacao,3840,128,07_Tudo,6,424.41,10.76,2.77
C1_Sumarizacao,3840,128,00_Baseline,7,166.83,28.60,7.72
C1_Sumarizacao,3840,128,01_KV,7,413.09,10.56,4.15
C1_Sumarizacao,3840,128,02_Attn,7,162.17,30.98,6.13
C1_Sumarizacao,3840,128,03_FFN,7,171.75,30.14,4.79
C1_Sumarizacao,3840,128,04_KV_Attn,7,20.28,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,7,14.97,N/A,N/A
C1_Sumarizacao,3840,128,06_Attn_FFN,7,176.87,30.40,4.02
C1_Sumarizacao,3840,128,07_Tudo,7,14.75,N/A,N/A
C1_Sumarizacao,3840,128,00_Baseline,8,166.77,28.60,7.69
C1_Sumarizacao,3840,128,01_KV,8,14.95,N/A,N/A
C1_Sumarizacao,3840,128,02_Attn,8,16.88,N/A,N/A
C1_Sumarizacao,3840,128,03_FFN,8,171.87,30.16,4.78
C1_Sumarizacao,3840,128,04_KV_Attn,8,15.52,N/A,N/A
C1_Sumarizacao,3840,128,05_KV_FFN,8,14.84,N/A,N/A
